t,raw,filtered
0.000000,1.091415,1.091415
0.001000,0.749808,1.023094
0.002000,1.342692,1.087013
0.003000,1.443973,1.158405
0.004000,0.604901,1.047704
0.005000,0.809346,1.000033
0.006000,1.228563,1.045739
0.007000,1.066931,1.049977
0.008000,1.112517,1.062485
0.009000,0.805890,1.011166
0.010000,1.263819,1.061697
0.011000,1.171534,1.083664
0.012000,0.902252,1.047382
0.013000,1.176369,1.073179
0.014000,0.950041,1.048552
0.015000,0.542212,0.947284
0.016000,0.920414,0.941910
0.017000,0.550532,0.863634
0.018000,1.145978,0.920103
0.019000,0.923219,0.920726
0.020000,0.944541,0.925489
0.021000,0.857525,0.911896
0.022000,1.484319,1.026381
0.023000,1.115445,1.044194
0.024000,1.061713,1.047698
0.025000,1.094360,1.057030
0.026000,1.349904,1.115605
0.027000,1.271437,1.146771
0.028000,1.241377,1.165692
0.029000,1.191050,1.170764
0.030000,1.642494,1.265110
0.031000,0.816272,1.175342
0.032000,0.728770,1.086028
0.033000,0.594065,0.987635
0.034000,0.994583,0.989025
0.035000,1.138692,1.018958
0.036000,0.775604,0.970287
0.037000,0.586150,0.893460
0.038000,0.635099,0.841788
0.039000,1.133374,0.900105
0.040000,1.222976,0.964679
0.041000,1.224750,1.016693
0.042000,0.917904,0.996936
0.043000,1.231452,1.043839
0.044000,1.225217,1.080114
0.045000,1.265607,1.117213
0.046000,1.451640,1.184098
0.047000,1.228882,1.193055
0.048000,1.321231,1.218690
0.049000,1.082077,1.191368
0.050000,1.086736,1.170441
0.051000,1.127583,1.161870
0.052000,0.445296,1.018555
0.053000,0.742295,0.963303
0.054000,0.668677,0.904378
0.055000,0.608337,0.845170
0.056000,0.727246,0.821585
0.057000,1.286679,0.914604
0.058000,0.622694,0.856222
0.059000,1.228680,0.930713
0.060000,0.495139,0.843599
0.061000,0.961338,0.867146
0.062000,1.166383,0.926994
0.063000,1.337670,1.009129
0.064000,1.403579,1.088019
0.065000,1.438004,1.158016
0.066000,1.085594,1.143532
0.067000,1.023098,1.119445
0.068000,1.374950,1.170546
0.069000,1.004412,1.137319
0.070000,0.617294,1.033314
0.071000,0.598210,0.946293
0.072000,0.606607,0.878356
0.073000,0.987345,0.900154
0.074000,0.852516,0.890626
0.075000,1.007146,0.913930
0.076000,0.681613,0.867467
0.077000,0.885759,0.871125
0.078000,1.070120,0.910924
0.079000,0.845393,0.897818
0.080000,1.137033,0.945661
0.081000,0.863226,0.929174
0.082000,1.008641,0.945067
0.083000,1.047282,0.965510
0.084000,0.831459,0.938700
0.085000,1.346092,1.020178
0.086000,1.049391,1.026021
0.087000,1.165552,1.053927
0.088000,1.261781,1.095498
0.089000,1.195763,1.115551
0.090000,1.199616,1.132364
0.091000,0.908651,1.087621
0.092000,0.755453,1.021188
0.093000,0.814281,0.979806
0.094000,0.303588,0.844563
0.095000,0.365866,0.748823
0.096000,0.412979,0.681655
0.097000,0.539023,0.653128
0.098000,1.002375,0.722978
0.099000,0.666553,0.711693
0.100000,-1.113449,0.346664
0.101000,-0.548428,0.167646
0.102000,-0.989322,-0.063748
0.103000,-0.616942,-0.174387
0.104000,-1.089874,-0.357484
0.105000,-0.861631,-0.458313
0.106000,-1.094795,-0.585610
0.107000,-0.939907,-0.656469
0.108000,-0.630351,-0.651246
0.109000,-1.456393,-0.812275
0.110000,-0.869673,-0.823755
0.111000,-0.990483,-0.857100
0.112000,-1.295802,-0.944841
0.113000,-1.595621,-1.074997
0.114000,-1.168572,-1.093712
0.115000,-1.358848,-1.146739
0.116000,-1.120408,-1.141473
0.117000,-1.155248,-1.144228
0.118000,-0.637023,-1.042787
0.119000,-1.133610,-1.060952
0.120000,-1.307049,-1.110171
0.121000,-0.884414,-1.065020
0.122000,-0.816444,-1.015305
0.123000,-0.430440,-0.898332
0.124000,-0.559255,-0.830516
0.125000,-0.692939,-0.803001
0.126000,-0.370798,-0.716560
0.127000,-1.194826,-0.812213
0.128000,-1.074368,-0.864644
0.129000,-1.216169,-0.934949
0.130000,-1.116943,-0.971348
0.131000,-1.474809,-1.072040
0.132000,-0.927012,-1.043035
0.133000,-1.228470,-1.080122
0.134000,-1.631453,-1.190388
0.135000,-1.504674,-1.253245
0.136000,-1.096157,-1.221828
0.137000,-0.910365,-1.159535
0.138000,-0.518538,-1.031336
0.139000,-0.187645,-0.862598
0.140000,-0.875677,-0.865213
0.141000,-1.235058,-0.939182
0.142000,-1.522057,-1.055757
0.143000,-0.757883,-0.996183
0.144000,-1.053671,-1.007680
0.145000,-0.924607,-0.991066
0.146000,-0.993418,-0.991536
0.147000,-0.880434,-0.969316
0.148000,-0.562649,-0.887982
0.149000,-0.891082,-0.888602
0.150000,-1.047590,-0.920400
0.151000,-1.372500,-1.010820
0.152000,-1.619962,-1.132648
0.153000,-1.307696,-1.167658
0.154000,-1.206346,-1.175395
0.155000,-0.669621,-1.074241
0.156000,-1.151129,-1.089618
0.157000,-0.866982,-1.045091
0.158000,-1.267346,-1.089542
0.159000,-1.417287,-1.155091
0.160000,-1.289535,-1.181980
0.161000,-1.155764,-1.176737
0.162000,-0.243902,-0.990170
0.163000,-1.084613,-1.009058
0.164000,-0.558242,-0.918895
0.165000,-1.070878,-0.949292
0.166000,-0.530317,-0.865497
0.167000,-0.722711,-0.836940
0.168000,-0.929434,-0.855439
0.169000,-0.950425,-0.874436
0.170000,-1.196436,-0.938836
0.171000,-0.927982,-0.936665
0.172000,-1.254052,-1.000143
0.173000,-1.529485,-1.106011
0.174000,-1.573593,-1.199528
0.175000,-1.148224,-1.189267
0.176000,-0.716484,-1.094710
0.177000,-1.113806,-1.098529
0.178000,-1.153149,-1.109453
0.179000,-0.976056,-1.082774
0.180000,-0.608199,-0.987859
0.181000,-0.872382,-0.964764
0.182000,-1.005721,-0.972955
0.183000,-0.506310,-0.879626
0.184000,-0.681162,-0.839933
0.185000,-0.339273,-0.739801
0.186000,-0.754818,-0.742805
0.187000,-1.205537,-0.835351
0.188000,-1.292891,-0.926859
0.189000,-0.442918,-0.830071
0.190000,-0.482900,-0.760637
0.191000,-1.115659,-0.831641
0.192000,-1.232513,-0.911816
0.193000,-0.723370,-0.874126
0.194000,-1.522325,-1.003766
0.195000,-1.468418,-1.096697
0.196000,-0.997213,-1.076800
0.197000,-1.280185,-1.117477
0.198000,-1.119094,-1.117800
0.199000,-1.110836,-1.116408
0.200000,1.101272,-0.672872
0.201000,1.484048,-0.241488
0.202000,1.144733,0.035756
0.203000,1.354985,0.299602
0.204000,0.575160,0.354714
0.205000,1.185384,0.520848
0.206000,0.937242,0.604127
0.207000,0.796159,0.642533
0.208000,0.854111,0.684849
0.209000,0.961566,0.740192
0.210000,1.274771,0.847108
0.211000,0.540279,0.785742
0.212000,0.891632,0.806920
0.213000,0.692946,0.784125
0.214000,0.711487,0.769598
0.215000,1.100827,0.835844
0.216000,0.971223,0.862919
0.217000,1.239416,0.938219
0.218000,0.836091,0.917793
0.219000,0.729414,0.880117
0.220000,0.932842,0.890662
0.221000,1.134552,0.939440
0.222000,1.170529,0.985658
0.223000,0.836487,0.955824
0.224000,1.217358,1.008131
0.225000,1.268468,1.060198
0.226000,1.945454,1.237249
0.227000,1.724857,1.334771
0.228000,0.861584,1.240134
0.229000,0.975588,1.187225
0.230000,0.560967,1.061973
0.231000,0.760984,1.001775
0.232000,0.977124,0.996845
0.233000,1.199953,1.037467
0.234000,0.591064,0.948186
0.235000,0.603756,0.879300
0.236000,0.165602,0.736561
0.237000,0.789397,0.747128
0.238000,0.563719,0.710446
0.239000,0.779365,0.724230
0.240000,0.736942,0.726772
0.241000,1.033525,0.788123
0.242000,0.590239,0.748546
0.243000,0.721690,0.743175
0.244000,1.828985,0.960337
0.245000,0.813773,0.931024
0.246000,0.861176,0.917054
0.247000,1.712877,1.076219
0.248000,1.989077,1.258791
0.249000,0.710333,1.149099
0.250000,0.889525,1.097184
0.251000,1.040663,1.085880
0.252000,1.401052,1.148914
0.253000,0.542139,1.027559
0.254000,0.736205,0.969289
0.255000,1.033201,0.982071
0.256000,0.940219,0.973701
0.257000,0.725350,0.924031
0.258000,0.842296,0.907684
0.259000,0.525728,0.831292
0.260000,0.928548,0.850744
0.261000,0.981887,0.876972
0.262000,1.187208,0.939019
0.263000,0.995205,0.950257
0.264000,1.331673,1.026540
0.265000,1.503815,1.121995
0.266000,1.236840,1.144964
0.267000,1.267330,1.169437
0.268000,1.133504,1.162251
0.269000,1.061829,1.142166
0.270000,0.783533,1.070440
0.271000,1.033145,1.062981
0.272000,0.853257,1.021036
0.273000,1.466147,1.110058
0.274000,1.281795,1.144405
0.275000,0.915754,1.098675
0.276000,0.580872,0.995115
0.277000,0.504473,0.896986
0.278000,1.239786,0.965546
0.279000,1.017021,0.975841
0.280000,1.144043,1.009482
0.281000,0.538428,0.915271
0.282000,1.395789,1.011374
0.283000,1.298130,1.068726
0.284000,0.857082,1.026397
0.285000,1.058543,1.032826
0.286000,1.269326,1.080126
0.287000,1.177543,1.099609
0.288000,1.029906,1.085669
0.289000,1.030757,1.074686
0.290000,0.924407,1.044631
0.291000,0.983965,1.032497
0.292000,1.323891,1.090776
0.293000,0.068199,0.886261
0.294000,0.738734,0.856755
0.295000,0.852954,0.855995
0.296000,0.898587,0.864514
0.297000,0.726622,0.836935
0.298000,0.355426,0.740633
0.299000,1.036595,0.799826
0.300000,-0.481795,0.543502
0.301000,-1.398355,0.155130
0.302000,-0.623295,-0.000555
0.303000,-0.936754,-0.187795
0.304000,-0.828186,-0.315873
0.305000,-1.115870,-0.475872
0.306000,-0.910126,-0.562723
0.307000,-0.448183,-0.539815
0.308000,-0.707646,-0.573381
0.309000,-0.418503,-0.542406
0.310000,-0.646776,-0.563280
0.311000,-0.930077,-0.636639
0.312000,-0.594377,-0.628187
0.313000,-1.030105,-0.708570
0.314000,-0.941815,-0.755219
0.315000,-1.288971,-0.861970
0.316000,-1.170248,-0.923625
0.317000,-1.371031,-1.013107
0.318000,-0.820682,-0.974622
0.319000,-1.415294,-1.062756
0.320000,-0.765295,-1.003264
0.321000,-0.995392,-1.001690
0.322000,-0.531069,-0.907565
0.323000,-0.612936,-0.848640
0.324000,-0.263595,-0.731631
0.325000,-0.580768,-0.701458
0.326000,-1.281401,-0.817447
0.327000,-0.858283,-0.825614
0.328000,-1.234045,-0.907300
0.329000,-1.093681,-0.944576
0.330000,-0.546631,-0.864987
0.331000,-0.870543,-0.866098
0.332000,-1.327236,-0.958326
0.333000,-1.465919,-1.059845
0.334000,-1.180377,-1.083951
0.335000,-1.564968,-1.180155
0.336000,-1.391553,-1.222434
0.337000,-1.068201,-1.191588
0.338000,-0.770963,-1.107463
0.339000,-0.879175,-1.061805
0.340000,-1.687387,-1.186921
0.341000,-0.846887,-1.118915
0.342000,-0.860833,-1.067298
0.343000,-0.714030,-0.996645
0.344000,-0.324926,-0.862301
0.345000,-1.418971,-0.973635
0.346000,-0.987120,-0.976332
0.347000,-0.660925,-0.913251
0.348000,-1.356921,-1.001985
0.349000,-0.495412,-0.900670
0.350000,-0.889493,-0.898435
0.351000,-0.807828,-0.880313
0.352000,-1.288840,-0.962019
0.353000,-0.917674,-0.953150
0.354000,-0.869670,-0.936454
0.355000,-1.130137,-0.975190
0.356000,-1.119891,-1.004131
0.357000,-1.080700,-1.019444
0.358000,-1.376561,-1.090868
0.359000,-1.106062,-1.093907
0.360000,-1.045757,-1.084277
0.361000,-0.823178,-1.032057
0.362000,-0.582496,-0.942145
0.363000,-1.155757,-0.984867
0.364000,-0.847291,-0.957352
0.365000,-0.355563,-0.836994
0.366000,-1.032865,-0.876168
0.367000,-1.084872,-0.917909
0.368000,-0.821751,-0.898678
0.369000,-0.684881,-0.855918
0.370000,-0.996572,-0.884049
0.371000,-0.663115,-0.839862
0.372000,-0.860519,-0.843994
0.373000,-0.909257,-0.857046
0.374000,-1.023976,-0.890432
0.375000,-0.501704,-0.812687
0.376000,-1.251760,-0.900501
0.377000,-1.762860,-1.072973
0.378000,-0.636281,-0.985635
